,CourseCode,CourseNameEN,CourseNameFR,CourseContent,SummaryEN
394,CIVIL-458,,,,
395,CIVIL-459,,Data and artificial intelligence for transportation,"1. Introduction to AI-driven systems 2. Sensing modalities and data in transportation systems 3. Perceiving: how to extract meaningful information from raw data? - Intro to machine learning (fundamentals to regression and classification) - Intro to deep learning (Neural Network, CNN, regularization techniques) - State-of-the-art techniques for localisation, detection, and tracking objects in the context of self-driving cars and smart terminals. 4- Predictive models - Intro to Recurrent Neural Networks - Learning to clone socially-accepted human behavior in the context of self-moving segways 5- Acting: challenges and ethical impacts of intelligent transportation systems The course is case-study based using real data. Students will implement in groups projects in computer vision, robotic controls, localization, path planning, and more. The projects involve parameter tuning and experimentation.","Data science and Artificial Intelligence (AI) are poised to reshape the transportation industry with self-driving cars, delivery robots, self-moving segways, or smart terminals. In this course, students will learn the fundamentals behind these AI-driven systems."
396,CIVIL-474,Civil engineering teaching unit: Sustainable construction,UE génie civil: Construction durable,,"The conformity of construction with the principles of the sustainable development requires of the engineer and architect multidisciplinary skills. At the end of the course), the students will acquire the theoretical and practical bases to estimate the sustainability of buildings."
397,CIVIL-476,Aesthetics of civil structures,Esthétique des ouvrages de génie civil,"Consideration of aesthetics: moral duty, perception of a structure, urban and rural sites, types of aesthetics, prominent examples. <squote/><squote/> Objective <squote/><squote/> rules for aesthetics for bridges, tunnels, retaining walls, anti-noise barriers, galleries, traffic routes, dams: Relationship with the (natural, built, cultural) environment, shape and structure, texture and colour, entity of structures. History of aesthetics : Concrete structures of three Swiss engineers - Maillart, Sarrasin and Menn<semicolon/> structures designed by famous engineers (Brunel, Eiffel, Freyssinet, Amman, Leonhardt, etc.)Trends: Aesthetics of rehabilitated and transformed structures<semicolon/> aesthetics in new construction: Calatrava, cable-stayed structures, metaphoric structures, industrial design.","A dictionary for the reading and description of aesthetic and cultural values of engineering structures and notions of art of structural engineering are introduced by means of bridges, tunnel portals, retaining walls, galleries as well as large infrastructure such as dams, roads and railways."
398,CIVIL-490,Construction project,Projet de construction,"Elaboration of a design project of a civil structure. Analysis of basic project data, generation of alternatives, comparison of alternatives and choice of the best solution, design and optimisation in the framework of a detailed design, cost estimation and construction planning, study of constructive details, elaboration of drawings (level detailed design and bidding document, ev. with reinforcement design). Technical report with detailed calculation. Executive summary. Team project based on a general project program established by professors in charge.","Application of master level skills to an academic project in the design, construction or maintenance of a civil engineering structure."
399,CIVIL-491,Civil system project,Projet de systèmes civils,Definition and modelisation of a civil engineering system. Analysis of the behaviour of the system and possible improvements and enhancement. Systematic simulations of the system and parameter analysis. Optimisation of the system by adding of new elements. Performance analysis of the system. Technical report with detailed description of the system (including schemas and computer code) and the results obtained by systematic simulations. Executive summmary. Team project based on a general project program established by professors in charge.,Application of master level skills to an academic project about the modelling of a civil engineering system.
400,CIVIL-492,Laboratory GC,Laboratoire GC,"Introduction to the basic rules of the conception of laboratory tests (sample representativity, test reproductibility, quality management and control) or computation software. Presentation of the systems and equipment associated with different types of tests (on model, on materials, on parts of structures <semicolon/> in laboratory or in situ) or the softwares used. Understanding the problems of the location of measuring equipment, of comparison of obtained values with standard tests, of the precision and stability of commonly used instru-ments or of programming, of algorithmic, etc. Teaching of the principals behind the functioning and use of data acquisition systems, measuring systems and equipment, or hardware. Procedure - Selection of subject in accordance with the laboratory - Elaboration of the test or computation procedure - Selection of instrumentation or hardware - Establishment of measurement plan or programming - Interpretation of results - Writing of report and eventual oral presentation","Application of master level skills to a civil engineering laboratory test including its design, its realization and its interpretation."
401,CIVIL-493,Optional transdisciplinary project,Projet interdisciplinaire à option,"The interdisciplinary project consists in treating a particular socio-economic problem, generally actual, taking into account different aspects as: economic, legal, social, political, ecological, ..... The student may propose a subject with the agreement of the responsible of the interdisciplinary project. He may also choose among the different subjects proposed by the teaching team. A final report will be clearly showing the methodology, the main results of the research, the student<squote/>s personal opinion as well as a summary and bibliographical index. An oral presentation is scheduled to give the student an opportunity to discuss the subject and also to offer him a good chance to practice verbal expression.",Application of master level skills to the interdisciplinary aspects of a civil engineering project
402,CIVIL-515,Flood and dam break waves,Ondes de crue et de rupture de barrage,"Conservation equations: Saint Venant equation, back water curves, limits in the use of the shallow water equation, diffusion, convection, advection-diffusion Flood and inondation: physical phenomena, use of the Saint Venant equations, kinematic wave, diffusive wave, hydrological methods (SCS, QdF, Gradex, etc.) Waves: mobile hydraulic jump, wind-induced waves, dynamic wave, roll waves, wave, tsunami, impulse wave Dambreak: physical phenomena, how to study them in engineering, failure mode, the dam break problem for viscous and nonviscous materials, effect of bed friction on propagation, numerical methods to solve hyperbolic problems","The course provides computational methods for unsteady flow problems such as floods, waves, and dam failures. The emphasis is on the physical understanding of the phenomena, the governing equations (Saint-Venant equations) and aspects related to engineering practice."
403,CIVIL-522,Seismic engineering,Seismic engineering,Introduction - Conceptual seismic design - Analysis methods - Design and evaluation methods - Design philosophies - Reinforced concrete structures - Existing reinforced concrete and masonry structures,This course deals with the main aspects of seismic design of buildings and bridges. It covers different structural design and evaluation philosophies for new and existing reinforced concrete and masonry structures.
404,CIVIL-523,,Advanced methods in computational solid mechanics,Basic programming/algorithmic concepts in Python Selected topics in finite element modeling Introduction to time accelerated methods,This is an advanced MS level class. It is of interest to engineering students who wish to develop know-how in computational science and engineering.
405,CIVIL-525,Concrete structures,"Structures en béton, chapitres choisis","Serviceability, long-term behaviour - Design of statically indeterminate structures and bases of plastic design - Stress fields method - Shear fields - Punching of R/C slabs with and without shear reinforcement.","Enrich the knowledge on the behaviour, conceptual design and detailing of concrete structures.To learn to design complex concrete structures."
406,CIVIL-526,Steel structures,"Structures en métal, chapitres choisis","Conceptual design of structural systems for mult-storey steel buildings - Structural systems to resist horizontal actions - Structural elements: columns and bulding floors - Beam-column connections, frame joints, column bases - Secondary elements - Building envelopes - Fire design and safety - Fatigue: S-N curves, classification of details, fatigue histograms, damage accumulation.","Conceptual and structural design of steel structures, with emphasis on different analysis and design methods concerning connections, fatigue and fire protection."
407,CIVIL-527,,Selected topics in mechanics of solids and structures,Wave dynamics Introduction to mechanics of rupture,The class covers the fundamentals of wave dynamics and fracture mechanics. The aim is to deepen their knowledge in advanced topis in mechanics of solids and structures and discuss current research topics. Case studies on catastrophic failure will be presented and discussed in class.
408,CIVIL-530,,Slope stability,Limit equilibrium analysis - Infinite slope analysis - Methods for circular and non-circular slip surface - Seismic slope stability - Coupled and un-coupled numerical analyses - Characterization of the pore water pressures in slopes - Drained and undrained conditions - Delayed failure - Rapid drawdown - Unsaturated conditions - Shear strength of soils in unsaturated conditions - Progressive failure - Measurement of displacements - Location of the slip surface - Measure of pore water pressures - Slope geometry modification and loads - Drainage systems - Retaining structures,The course aims at providing future civil engineers with a comprehensive view on soil slope stability. It addresses landslide types and mass movement classification; slope failure mechanisms and methods for slope stability analysis are discussed; remedial measures and risk analysis are presented.
409,CIVIL-532,Materials and structures,Matériaux et structures,"Background and motivation<semicolon/> basic components, binders and Supplementary Cementitious Materials (SCM)<semicolon/> rheology of fresh cementitious materials and admixtures<semicolon/> optimisation of properties<semicolon/> improvement of workability (self-compacting concretes - SCC)<semicolon/> improvement of mechanical strength (HSC - UHPFRC)<semicolon/> improvement of deformability (addition of fibres, FRC and UHPFRC)<semicolon/> mechanics of strain hardening fibre reinforced concretes<semicolon/> improvement of durability (NC, HSC, UHPFRC)<semicolon/> test methods specification of materials and quality insurance<semicolon/> assessment of environmental impact ways towards conceptual design of innovative structures","Starting from basic knowledge of concrete technology, this course develops relations between composition, processing, microstructure and structural properties of ""new concretes"", with a special emphasis on Ultra High Performance Fibre Reinforced Concretes (UHPFRC)."
410,CIVIL-557,,Decision-aid methodologies in transportation,"The course is case-study based, it will be divided into modules associated to concrete case studies. Each module will contain the following parts: 1. Presentation of the problem, outline of the process, analysis of major difficulties. 2. Formulation of the optimization problem. 3. Introduction to optimization methods. 4. Implementation using software tools. 5. Solution of a concrete problem by the lecturer, using real data. 6. Solution of similar problems by the students, using also real data. Emphasis will be put on enhancing students<squote/> abilities to model and implement decision support methods in transportation systems. During the course the students would be introduced to the Julia programming language and to the JuMP modeling language for mathematical optimization (embedded in Julia). Programming skills are not a prerequisite, but note that most of the exercises would require programming abilities at the level taught during the exercise.",Introduction to operations research algorithms for decision support in transportation systems.
411,CIVIL-597,Engineering internship (master in Civil engineering),Stage d<squote/>ingénieur crédité avec le PDM (master en  Génie civil),,The student makes an industrial internship in a domain where civil engineer competences are brought out
412,CIVIL-598,Pre-study master project (Only semester M3),Pré-étude projet de master,,Pre-study leading to the acquisition of skills and base data for the master thesis.
413,CIVIL-599,Master project in Civil Engineering,Projet de master en génie civil,,Application of master level knowledges to the realization of a final master thesis with high scientific value in the domain of civil engineering or associated.
414,CIVIL-603,,Energy planning: modeling and decision support systems,"1. Introduction to Energy Economics and Modeling 1.1 Basic economics: microeconomic, macroeconomic theories 1.2 Economic-Environment-Energy Modeling: optimization, simulation, time and space dimensions 1.3 Various modeling approaches: Top-down, Bottom-up, Hybrid/Integrated approach 1.4 Theory of energy economics: Cost-Benefit analysis, social welfare, marginal cost and investment decision, energy pricing 2. Energy Demand/Supply Adequacy 2.1 Energy Demand modeling and forecasting: projection, econometric, techno-economic and hybrid models 2.2 Electrical Power generation planning: deterministic, probabilistic models<semicolon/> generation planning in a competitive environment<semicolon/> planning of distributed energy resources 2.3 Comparative assessment of energy strategies: Mono-Criterion, Multi-objective programming, Multi-Criteria Decision Making 2.4 Simulation of energy markets: Multi-agent simulation of generation expansion in the markets of electricity, system dynamics 3. Modeling externalities of Energy 3.1 Evaluation of environmental externalities 3.2 Internalizing external effects in energy planning 3.3 Case of Electrical Power Generating System 3.4 Discussing the pricing of environmental externalities 4. Energy Risk Management 4.1 Price volatility and risk management 4.2 Energy derivatives 4.3 Value-at-Risk 4.4 Portfolio risk analysis and application to electricity supply planning 5. Case studies: Least cost planning of electrical generating system expansion 5.1 Electricity demand forecasting 5.2 Candidates for expansion and configurations of the system 5.3 Modeling the operation of the system 5.4 Elaborating expansion strategies 5.5 Multi Criteria based comparative assessment of expansion strategies","Solving the problems of energy planning : demand forecasting, evaluation of supply matrixes, probabilistic evaluation of demand/supply adequacy, multi-criteria assessment of medium and long term energy strategies, risk assessment of energy supply portfolios."
415,CIVIL-604,"Introduction to digital signal processing using Matlab, applied to environmental sciences and civil engineering",,"The course will be held in two parts, the first part deals with basics of signal processing. The fourier transform, sampling, spectral analysis and signal filtering are presented. Also coding and plotting with matlab is introduced using practical examples. In a second time during practical work a dataset has to be processed using matlab. The students can use their own dataset ( accelerometers, displacement, impact-echo, etc ...), if they have none a ground penetrating radar dataset will be provided.",Provide civil engineers signal processing tools and bases in order to process and interpret monitoring datasetsand give a practical introduction to matlab.
416,CIVIL-605,,Communication for Research Engineers,"The course is divided into modules that are related to typical communication tasks that PhDs and postdocs are expected to perform. There is also a module related to publication ethics. Teaching modules are - Writing clearly in English - Preparing a research abstract - Giving a seminar to a small audience - Preparing and presenting a poster - Writing a journal paper - Publication ethics - Writing a conference paper - Presenting a paper at a conference - Writing a research proposal - Chairing a seminar - Preparing a thesis document Interactive workshops will be held between teaching modules. Typical subjects are - Creating effective and understandable tables, images and figures - Simplify the message - Non-verbal communication including body language - Making yourself heard, understood and remembered - Know your audience - Designing a pilot project - Managing question-and-answer sessions - Communication and email etiquette - Aspects related to creating clear and unambiguous text The course begins with an assignment for each student to write and then present a ten-sentence summary of their research. The course is subsequently tailored to the average proficiency that is observed and to specific weaknesses that are identified.","Communication proficiency is one of the most important results of a good PhD and postdoc experience and it is valued equally in academia and in industry. EPFL PhD students and postdocs are expected to have excellent written, oral and graphic skills in order to transmit their ideas effectively."
417,CIVIL-704,Fracture Mechanics and Fatigue of Structures,,"Fracture micromechanisms in steels, Griffith and Irwin theories, concept of stress intensity factor, fracture toughness and its determination - Plated steel structures : Fatigue strength of welded steel elements, size effect, residual stresses influence, application of fracture mechanics to fatigue - Tubular steel structures : Hot spot stress method for fatigue design, welded vs cast steel joints - Structural glass: Subcritical crack growth, predicting time to failure - Reinforced concrete structures : Fracture mechanics, fracture of concrete, size effect, brittle failure, fatigue of reinforced concrete elements, evaluation of fatigue safety of bridge decks, fracture due to dynamic effects. - R-UHPFRC structures: fracture and fatigue properties of Ultra-High Performance Fiber Reinforced Composites, structural implications, design provisions.",Determination of stress intensity factors and application of fracture mechanics to structures made of different materials.Ability to apply fracture mechanics to predict brittle fracture+ compute fatigue life of structural elements.Understanding of the influencing parameters+methods to determine them
418,CIVIL-705,Selected Topics on Advanced Composites in Engineering Structures,,"Introduction to composite materials and the specific design concepts of structures with this type of material. Description of the characteristics of composite materials and their singularities. Selected topics to be addressed are: * Failure modes and failure criteria for composite materials, * Fatigue of composite materials and structures, * Multiaxial static/fatigue behaviour, * Fracture of composite materials, * Joining techniques, * Issues raised by the students, related to their PhD projects","The course focuses on the current investigations in the fields of fatigue and fracture of composite materials and composite structural components, like adhesively-bonded joints. Students would be able to develop design concepts for composite structures under realistic loading conditions"
419,CIVIL-706,Advanced Earthquake Engineering,,Particularity of existing structures in seismic context Vulnerability and seismic evaluation Analysis methods Strength and displacement based evaluation Retrofitting methods (design and technology),This course deals with the complex problem of seismic evaluation of existing structures; by far more complicated than for new structures. Aims are to:- show how and why the analysis methods need improvements to be used in this context.- provide an insight of the different retrofitting methods.
420,CIVIL-709,New Concretes for Structures,New Concretes for Structures,"Basic components,binders,admixtures and adjunctions. - Rheology of fresh cementitious materials. - Bases of Fibre Reinforced Concretes. - Formulation of UHPFRC. - Hydration, heat transport, moisture transport. - Mechanics of strain hardening fibre reinforced concretes and combination with rebars. - Time dependent behaviour of UHPFRC - creep and shrinkage, response under restraint. - Applications on new and existing structures - case studies.","This course provides an in depth coverage of mechanical and physical properties of Ultra High Performance Fibre Reinforced Concretes (UHPFRC), in the framework of new cementitious composites for structures. The structural applications and environmental assessment of construction systems with UHPFR"
421,CIVIL-711,Information Science in Engineering,,"The course is divided into two parts. The first part deals with concepts such as complexity, task analysis as well as strategies for representation and reasoning using engineering knowledge (1 week). The second part (1 week 1 month later) is devoted to seminars by Doctoral candidates on selected topics complemented by a ""critique"" and supplementary theoretical background by the teacher.","An introduction to engineering-relevant computer-science concepts that are hardware and software independent. Outcomes include knowledge of the limits of computing, improved ability to understand the true value of new developments and capabilities to effectively select good computing methodologies"
422,COM-102,,"Advanced information, computation, communication II","I. How to measure information. Source and probability. Entropy per symbol. Source coding. II. Cryptography and information security. Modular arithmetic, modern algebra and number theory. The Chinese remainder theorem and RSA. III. Protecting information. A few finite fields. Linear speaces. Hamming distance. Linear codes. Reed-Solomon codes.","Text, sound, and images are examples of information sources stored in our computers and/or communicated over the Internet. How do we measure, compress, and protect the informatin they contain?"
423,COM-208,,Computer networks,"Overview of Internet operation (main components and protocols). Application layer (web, cookies, ads, email, peer to peer). Socket programming (how to write a very simple network application). Transport layer (UDP, TCP, congestion control). Network layer (IP forwarding and basic routing). Data link layer (switching and basic shared access protocols). Security (secure email, SSL, IPsec).",This course provides an introduction to computer networks. It describes the principles that underly modern network operation and illustrates them using the Internet as an example.
424,COM-300,Stochastic models in communication,Modèles stochastiques pour les communications,"Review of probability: axioms of probability, random variable and random vector (multi-dimensional random variable). Continuous-time and discrete-time stochastic processes: second-order analysis (stationarity, ergodism, spectral density, Wiener-Khintchine relations, response of a LTI (Linear Time Invariant) system to random inputs, Gaussian processes, ARMA processes, Wiener filter). Application to simple optimal detection schemes, and to simple image restoration and compression. Poisson process and Poisson shot noise. Application to optical fiber transmission. Discrete-time Markov chains: Ergodic chains, transient and asymptotic behavior, stationary distribution, absorbing chains, hitting time, simple random walks, branching processes. Continuous-time Markov chains. Birth and death process: transient and steady-state analysis. Simple queues: definitions, Little<squote/>s law, M/M/1... M/M/s/K, M/G/1,M/G/infty queues.","The goal of this class is to acquire a working knowledge of the tools of random processes used by an engineer in communication, data science and computer science."
425,COM-301,Network security,Sécurité des réseaux,"<!-- P { margin-bottom: 0.08in<semicolon/> direction: ltr<semicolon/> color: rgb(0, 0, 0)<semicolon/> widows: 2<semicolon/> orphans: 2<semicolon/> }P.western { font-family: ""Times New Roman"",serif<semicolon/> font-size: 10pt<semicolon/> }P.cjk { font-family: ""Times New Roman"",serif<semicolon/> font-size: 10pt<semicolon/> }P.ctl { font-family: ""Times New Roman"",serif<semicolon/> font-size: 10pt<semicolon/> } --> Common attacks: Protective measures: Protocols and applications Organisational aspects: Regulatory aspects:",To understand the threats to which computer networks are exposed and to know how to protect a network using appropriate technical and organisational measures.
426,COM-302,,Principles of digital communications,Optimal receiver for vector channels Optimal receiver for waveform (AWGN) channels Various signaling schemes and their performance Efficient signaling via finite-state machines Efficient decoding via Viterbi algorithm Communicating over bandlimited AWGN channels Nyquist Criterion Communicating over passband AWGN channels,This course is on the foundations of digital communication. The focus is on the transmission problem (rather than being on source coding).
427,COM-303,,Signal processing for communications,"Basic discrete-time signals and systems: signal classes and operations on discrete-time signals, signals as vectors in Hilbert space Fourier Analysis: properties of Fourier transforms, DFT, DTFT<semicolon/> FFT. Discrete-Time Systems: LTI filters, convolution and modulation<semicolon/> difference equations<semicolon/> FIR vs IIR, stability issues. Z-transform: properties and regions of convergence, applications to linear systems. Filter Design: FIR design methods, IIR design methods, filter structures. Stochastic and Adaptive Signal Processing: random processes, spectral representation, Optimal Least Squares adaptive filters. Interpolation and Sampling: the continuous-time paradigm, interpolationthe sampling theorem, aliasing. Quantization: A/D and D/A converters. Multi-rate signal processing: upsampling and downsampling, oversampling. Multi-dimensional signals and processing: introduction to Image Processing. Practical applications: digital communication system design, ADSL.","Students learn digital signal processing theory, including discrete time, Fourier analysis, filter design, adaptive filtering, sampling, interpolation and quantization; they are introduced to image processing and data communication system design."
428,COM-307,Project in communication systems I,Projet en systèmes de communication I,Subject to be chosen among the themes proposed on the web site : http://ic.epfl.ch/page-24761-en.html,Individual research during the semester under the guidance of a professor or an assistant.
429,COM-308,,Internet analytics,"The class seeks a balance between foundational but relatively basic material in algorithms, statistics, graph theory and related fields, with real-world applications inspired by the current practice of internet and cloud services. Specifically, we look at social and information networks, recommender systems, clustering and community detection, search/retrieval/topic models, dimensionality reduction, stream computing, and online ad auctions. Together, these provide a good coverage of the main uses for data mining and analytics applications in social networking, e-commerce, social media, etc. The course is combination of theoretical materials and weekly laboratory sessions, where we explore several large-scale datasets from the real world. For this, you will work with a dedicated infrastructure based on Hadoop and Apache Spark.","Internet analytics is the collection, modeling, and analysis of user data in large-scale online services, such as social networking, e-commerce, search, and advertisement. This class explores a number of the key functions of such online services that have become ubiquitous over the past decade."
430,COM-309,Quantum information processing,Traitement quantique de l<squote/>information,"Introduction. wave-particle duality. Photons. Discrete degrees of freedom: photon polarization. Quantum bits: first appoach. Principles of quantum mechanics. Algebraic approach: state vectors, observables, measurements, tensor product structure. Two level systems: Bloch sphere and concept of quantum bit. Quantum cryptography. Secret key distribution. Bennet-Brassard 84 and other protocols. Discussion of experimental implementations. Quantum correlations and communication. Entangled states. Dense Coding and Teleportation, Bell inequalities. Quantum computation. Classical and quantum computation (reversibility), circuit models. Algorithms of Deutsch-Josza and factorization algorithm of Shor. Dynamics of spin. Rabi oscillations, manipulations of quantum bits, realizations of logical gates. Discussion of experimental realizations. Principle of magnetic nuclear resonance. Rabi oscillations. Heisenberg Hamiltonian and two-qubi gates. Experiments with small numbers of qubits.","Information is stored and processed in material systems. With their miniaturization, it becomes necessary to replace the concept of classical bit by that of quantum bit. This course develops the subject of quantum communications, cryptography and correlations. The IBM Q machine will be discussed."
431,COM-401,,Cryptography and security,"Ancient cryptography: Vigenère, Enigma, Vernam cipher, Shannon theory Diffie-Hellman cryptography: algebra, Diffie-Hellman, ElGamal RSA cryptography: number theory, RSA, factoring Elliptic curve cryptography: elliptic curves over a finite field, ECDH, ECIES Symmetric encryption: block ciphers, stream ciphers, exhaustive search Integrity and authentication: hashing, MAC, birthday paradox Applications to symmetric cryptography: mobile telephony, Bluetooth, WiFi Public-key cryptography: cryptosystem, digital signature Trust establishment: secure communication, trust setups Case studies: Bluetooth, TLS, SSH, PGP, biometric passport","This course introduces the basics of cryptography. We review several types of cryptographic primitives, when it is safe to use them and how to select the appropriate security parameters. We detail how they work and sketch how they can be implemented."
432,COM-402,,,,
433,COM-404,,Information theory and coding,1. Mathematical definition of information and the study of its properties. 2. Source coding: efficient representation of message sources. 3. Communication channels and their capacity. 4. Coding for reliable communication over noisy channels. 5. Multi-user communications: multi access and broadcast channels. 6. Lossy source coding : approximate representation of message sources. 7. Information Theory and statistics,The mathematical principles of communication that govern the compression and transmission of data and the design of efficient methods of doing so.
434,COM-405,,Mobile networks,Introduction to wireless networks Organization of the MAC layer Wireless Local Area Networks - WiFi Cellular networks Mobility at the network and transport layers Security and privacy in mobile networks,This course provides a detailed description of the organization and operating principles of mobile communication networks.
435,COM-406,,Information theory and signal processing,This class presents basic concepts of Information Theory and Signal Processing and their relevance to emerging problems in Data Science and Machine Learning. A tentative list of topics covered is:,Information Theory and Signal Processing are key underpinnings of Data Science. They provide frameworks for signal representation and for fundamental performance bounds.
436,COM-407,,TCP/IP networking,"LECTURES: 1. The TCP/IP architecture 2. Layer 2 networking<semicolon/> Bridging. 3. The Internet protocol versions 4 and 6 4. The transport layer, TCP, UDP, sockets, QUIC. 5. Link state routing, OSPF, Distance Vector routing. Interdomain routing, BGP. 6. Congestion control principles. Application to the Internet. The fairness of TCP. LABS: 1. Configuration of a network, virtual machines and mininet, packet captures 2. MAC<semicolon/> NATs and troubleshooting 3. Socket programming 4. OSPF routing 5. Congestion control and flow management 6. BGP",In the lectures you will learn and understand the main ideas that underlie and the way communication networks are built and run. In the labs you will exercise practical configurations.
437,COM-412,,Projet de semestre en data science,,Individual research during the semester under the guidance of a professor or an assistant.
438,COM-413,,,,
439,COM-414,,Satellite communications  systems and networks,"Introduction to satellite communication - Systems and services (e.g. INMARSAT) - SATCOM transmitters, receivers and antennas - SATCOM link budget analysis Mobile satellite channel - Multipath, shadowing, Doppler spread, delay spread - Waveform design implications SATCOM multiple access and access control - FDMA, TDMA, CDMA and capacity and trades - Random access and MAC (e.g. FAMA, DAMA) SATCOM modulation, error correction and control - MPSK, MPSK TCM modulation and demodulation - Convolutional coding, Viterbi decoding, error control SATCOM antennas - Satellite phased array and mobile terminal antennas - Antenna diversity combining techniques TCP/IP over SATCOM - TCP/IP over satellite performance issues - Satellite IP enhancements, routing, congestion control IP/ATM over satellite networks -Introduction to IP/ATM over SATCOM - IP/ATM SATCOM network integration Emerging systems and issues - Broadand and Satellite UMTS (S-UMTS) - SATCOM system cost considerations Special topics in wireless communication - High Altitude Platforms (HAPs)",Study of satellite communication (SATCOM) systems and IP satellite networks.
440,COM-416,Project in communication systems II,Projet en systèmes de communication II,Subject to be chosen among the themes proposed on the web site : http://ic.epfl.ch/page-29961-en.html,Individual research during the semester under the guidance of a professor or an assistant.
441,COM-417,,Advanced probability and applications,"I. Probability - sigma-fields, probability measures, random variables - independence, expectation - convergence of sequences of random variables - laws of large numbers- central limit theorem - concentration inequalities - moments II. Martingales - conditional expectation - definition and properties of a martingale - stopping times, optional stopping theorem - maximal inequalities - convergence theorems","In this course, various aspects of probability theory are considered. The first part is devoted to the main theorems in the field (law of large numbers, central limit theorems), while the second part focuses on the theory of martingales in discrete time."
442,COM-430,,Modern digital communications: a hands-on approach,"Software radio : key concepts. Matlab implementation of the signal processing chain to the level of detail in Principles of Digital Communications. Channel modeling, estimation, equalization. Implementation of a basic wireless communication system using a software-defined radio testbed. Fading and diversity. OFDM and MIMO : theory and implementation. CDMA in the context of a GPS system. Decoding of a GPS signal and positioning.","This course complements the theoretical knowledge learned in PDC with more advanced topics such as OFDM, MIMO, fading chancels, and GPS positioning. This knowledge is put into practice with hands-on exercises based on Matlab and on a software-defined radio platform."
443,COM-480,,Data visualization,"(Approximatively) Week 1: Introduction to Data visualization Web development Week 2: Javascript Week 3: More Javascript Week 4: Data Data driven documents (D3.js) Week 5: Interaction, filtering, aggregation (UI /UX). Advanced D3 / javascript libs Week 6: Perception, cognition, color Marks and channels Week 7: Designing visualizations (UI/UX) Project introduction Dos and don<squote/>ts for data-viz Week 8: Maps (theory) Maps (practice) Week 9: Text visualization Week 10: Graphs Week 11: Tabular data viz Music viz Week 12: Introduction to scientific visualisation Week 13: Storytelling with data / data journalism Creative coding Week 14: Wrap-Up","Understanding why and how to present complex data interactively in an effective manner has become a crucial skill for any data scientist. In this course, you will learn how to design, judge, build and present your own interactive data visualizations."
444,COM-500,,Statistical signal and data processing through applications,"1. Fundamentals of Statistical Signal Processing: Signals and systems from the deterministic and the stochastic point of view. Processing and analysing signals and systems with a mathematical computing language. 2. Models, Methods, and algorithms :Parametric and non-parametric signal models (wide sense stationary, Gaussian, Markovian, auto regressive and white noise signals)<semicolon/> Linear prediction and estimation (orthogonality principle and Wiener filter)<semicolon/> Maximum likehood estimation and Bayesian a priori. 3. Statistical Signal Processing Tools for Spread Spectrum wireless transmission: Coding and decoding of information using position of pulses (annihilating filter approach)<semicolon/> Avoiding interference with GPS (spectral mask and periodogram estimation)<semicolon/> Spectrum estimation for classical radio transmissions (estimating frequencies of a harmonic signal). 4. Statistical Signal Processing Tools for the Analysis of Neurobiological Signals: Identification of spikes (correlation-bases methods)<semicolon/> Characterization of multiple state neurons (Markovian models and maximum likelihood estimation)<semicolon/> Classifying firing rates of neuron (Mixture models and the EM algorithm)<semicolon/> Principal Component Analysis. 5. Statistical Signal Processing Tools for Echo cancellation: Adaptive filtering (least mean squares and recursive least squares).","Building up on the basic concepts of sampling, filtering and Fourier transforms, we address stochastic modeling, spectral analysis, estimation and prediction, classification, and adaptive filtering, with an application oriented approach and hands-on numerical exercises."
445,COM-501,,Advanced cryptography,"Public-key cryptography: Factoring, RSA problem, discrete logarithm problem, attacks based on subgroups Conventional cryptography: differential and linear cryptanalysis, hypothesis testing, decorrelation Interactive proofs: NP-completeness, interactive systems, zero-knowledge Proofs techniques: Security of encryption, random oracles, game reduction techniques","This course reviews some failure cases in public-key cryptography. It introduces some cryptanalysis techniques. It also presents fundamentals in cryptography such as interactive proofs. Finally, it presents some techniques to validate the security of cryptographic primitives."
446,COM-502,,Dynamical system theory for engineers,"Introduction: Dynamics of linear and non linear systems. Definitions<semicolon/> Unicity of a solution<semicolon/> Limit Sets, Attractors. Linear Systems: Solutions<semicolon/> Stability of autonomous systems, Geometrical analysis, connection with frequency domain analysis. Nonlinear Systems: Solutions<semicolon/> Examples. Large-scale notions of stability (Lyapunov functions). Hamltionian systems, gradient systems. Small-scale notions of stability (Linearization<semicolon/> stability and basin of attraction of an equilibrium point, stability of periodic solutions, Floquet Multipliers). Graphical methods for the analysis of low-dimensional systems. Introduction to structural stability, Bifurcation theory. Introduction to chaotic systems (Lyapunov exponents). The class is methodology-driven. It may present some limited examples of applications, but it is not application-driven.","Linear and nonlinear dynamical systems are found in all fields of science and engineering. After a short review of linear system theory, the class will explain and develop the main tools for the qualitative analysis of nonlinear systems, both in discrete-time and continuous-time."
447,COM-503,,Performance evaluation,,
448,COM-506,,,,
449,COM-507,,Optional project in communication systems,Subject to be chosen among the themes proposed on the web site : http://ic.epfl.ch/systemes-communication-projet-labo-master,Individual research during the semester under the guidance of a professor or an assistant.
450,COM-508,,Optional project in data science,Subject to be chosen among the themes proposed on the web site : http://ic.epfl.ch/data-science-projet-labo-master,Individual research during the semester under the guidance of a professor or an assistant.
